entry,exit,period,cap,atr,regime,n,trades_per_year,excess,z,win,unit,per_trade_pct
STRUCTURE,close 10 bars,holdout,all,3-5,all,528,1960,0.953,2.8,0.623,%,0.95
STRUCTURE,close 10 bars,holdout,all,3-5,bull,442,1640,0.693,1.8,0.581,%,0.69
STRUCTURE,close 10 bars,holdout,all,5-8,all,264,980,1.021,1.3,0.61,%,1.02
STRUCTURE,close 10 bars,holdout,all,5-8,bull,239,887,0.764,0.9,0.59,%,0.76
STRUCTURE,close 10 bars,holdout,500M-2B,all,all,194,720,-0.336,-0.4,0.562,%,-0.34
STRUCTURE,close 10 bars,holdout,500M-2B,all,bull,172,638,-0.611,-0.7,0.541,%,-0.61
STRUCTURE,close 10 bars,holdout,2B-5B,all,all,424,1574,0.45,0.9,0.561,%,0.45
STRUCTURE,close 10 bars,holdout,2B-5B,all,bull,368,1366,0.358,0.6,0.533,%,0.36
STRUCTURE,close 10 bars,holdout,2B-5B,3-5,all,174,646,1.088,2.0,0.592,%,1.09
STRUCTURE,close 10 bars,holdout,>5B,all,all,808,2999,2.003,6.7,0.66,%,2.0
STRUCTURE,close 10 bars,holdout,>5B,all,bull,721,2676,1.921,5.9,0.637,%,1.92
STRUCTURE,close 10 bars,holdout,>5B,<3,all,392,1455,1.601,5.9,0.648,%,1.6
STRUCTURE,close 10 bars,holdout,>5B,<3,bull,367,1362,1.563,5.4,0.635,%,1.56
STRUCTURE,close 10 bars,holdout,>5B,3-5,all,287,1065,1.332,2.9,0.652,%,1.33
STRUCTURE,close 10 bars,holdout,>5B,3-5,bull,240,891,1.009,1.9,0.608,%,1.01
STRUCTURE,hole down,in-sample,all,all,all,4074,5613,-1.077,-5.3,0.522,%,-1.08
STRUCTURE,hole down,in-sample,all,all,bull,2310,3183,-2.06,-6.4,0.48,%,-2.06
STRUCTURE,hole down,in-sample,all,all,bear,1764,2430,0.211,1.0,0.577,%,0.21
STRUCTURE,hole down,in-sample,all,<3,all,1717,2366,-0.117,-1.5,0.464,%,-0.12
STRUCTURE,hole down,in-sample,all,<3,bull,1060,1460,-0.618,-5.6,0.465,%,-0.62
STRUCTURE,hole down,in-sample,all,<3,bear,657,905,0.693,7.4,0.463,%,0.69
STRUCTURE,hole down,in-sample,all,3-5,all,1504,2072,-1.058,-7.6,0.578,%,-1.06
STRUCTURE,hole down,in-sample,all,3-5,bull,816,1124,-2.806,-13.5,0.505,%,-2.81
STRUCTURE,hole down,in-sample,all,3-5,bear,688,948,1.015,7.0,0.666,%,1.02
STRUCTURE,hole down,in-sample,all,5-8,all,572,788,-1.922,-4.4,0.551,%,-1.92
STRUCTURE,hole down,in-sample,all,5-8,bull,300,413,-4.219,-6.2,0.483,%,-4.22
STRUCTURE,hole down,in-sample,all,5-8,bear,272,375,0.612,1.2,0.625,%,0.61
STRUCTURE,hole down,in-sample,500M-2B,all,all,481,663,-3.102,-5.8,0.482,%,-3.1
STRUCTURE,hole down,in-sample,500M-2B,all,bull,272,375,-4.266,-6.7,0.445,%,-4.27
STRUCTURE,hole down,in-sample,500M-2B,all,bear,209,288,-1.588,-1.8,0.531,%,-1.59
STRUCTURE,hole down,in-sample,500M-2B,3-5,all,196,270,-1.531,-3.9,0.485,%,-1.53
STRUCTURE,hole down,in-sample,2B-5B,all,all,1153,1589,-1.368,-4.6,0.505,%,-1.37
STRUCTURE,hole down,in-sample,2B-5B,all,bull,667,919,-2.426,-5.7,0.484,%,-2.43
